contin_Number,EM_series,pre,post,type,sections,partner_Number,post1,post2,post3,post4
191,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
192,N2Y,R2AR,"R2AR,R2AL",chemical,3,2,R2AR,R2AL,,
193,N2Y,R2AR,"R2AR,R2AL",chemical,1,2,R2AR,R2AL,,
194,N2Y,R2AL,R2AR,chemical,4,1,R2AR,,,
195,N2Y,R2AR,"R2AL,R2AR",chemical,2,2,R2AL,R2AR,,
196,N2Y,R2AR,R2AL,chemical,5,1,R2AL,,,
197,N2Y,R2AR,R2AR,chemical,2,1,R2AR,,,
198,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
199,N2Y,R2AL,R2AR,chemical,5,1,R2AR,,,
200,N2Y,R2AR,R2AR,chemical,1,1,R2AR,,,
201,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
202,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
204,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
205,N2Y,R2AR,R2AL,chemical,3,1,R2AL,,,
206,N2Y,R2AR,R2AR,chemical,4,1,R2AR,,,
207,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
208,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
209,N2Y,R2AR,R2AL,chemical,3,1,R2AL,,,
210,N2Y,R2AR,R2AR,chemical,2,1,R2AR,,,
211,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
212,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
214,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
216,N2Y,R2AR,R2AR,chemical,2,1,R2AR,,,
217,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
218,N2Y,R2AL,"R2AR,AVG,PHCL",chemical,2,3,R2AR,AVG,PHCL,
219,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
220,N2Y,R2AL,"R2AR,HOA",chemical,3,2,R2AR,HOA,,
221,N2Y,R2AR,R2AR,chemical,5,1,R2AR,,,
222,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
223,N2Y,R2AR,R2AR,chemical,1,1,R2AR,,,
224,N2Y,R2AR,CP08,chemical,1,1,CP08,,,
225,N2Y,R2AR,CP09,chemical,1,1,CP09,,,
226,N2Y,R2AR,CP08,chemical,1,1,CP08,,,
227,N2Y,R3BR,"PHCL,PVY",chemical,1,2,PHCL,PVY,,
229,N2Y,R3BR,"PQR,EF3,PVNL",chemical,6,3,PQR,EF3,PVNL,
230,N2Y,R2AL,"PHCL,AVG",chemical,2,2,PHCL,AVG,,
231,N2Y,AVG,R2AL,chemical,3,1,R2AL,,,
232,N2Y,R2AL,CP07,chemical,2,1,CP07,,,
233,N2Y,R2AL,CP07,chemical,1,1,CP07,,,
235,N2Y,R2AL,"unk2830,CP07",chemical,1,2,unk2830,CP07,,
236,N2Y,R2AL,CP07,chemical,1,1,CP07,,,
237,N2Y,R3BR,"PHCR,PVX",chemical,2,2,PHCR,PVX,,
238,N2Y,R2AL,AVBL,chemical,1,1,AVBL,,,
239,N2Y,R2AL,"PVX,AVBR",chemical,1,2,PVX,AVBR,,
240,N2Y,R2AL,"AVBR,AVG",chemical,1,2,AVBR,AVG,,
241,N2Y,R2AL,"hyp,AVBL",chemical,1,2,hyp,AVBL,,
242,N2Y,R2AL,"hyp,AVBL",chemical,2,2,hyp,AVBL,,
243,N2Y,R2AL,R2AL,chemical,1,1,R2AL,,,
244,N2Y,R2AL,R2AL,chemical,2,1,R2AL,,,
245,N2Y,R2AL,R2AL,chemical,1,1,R2AL,,,
246,N2Y,R9AR,"R3BR,PVX,CP07",chemical,3,3,R3BR,PVX,CP07,
247,N2Y,R3BR,"PVX,CP07",chemical,2,2,PVX,CP07,,
248,N2Y,R2AL,CP08,chemical,1,1,CP08,,,
249,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
250,N2Y,R2AL,"R2AR,CP08",chemical,3,2,R2AR,CP08,,
251,N2Y,R2AL,"DD06,CP07",chemical,3,2,DD06,CP07,,
252,N2Y,R3BR,"PHCR,AVG",chemical,3,2,PHCR,AVG,,
253,N2Y,R3BR,"R9AR,PVX,CP07",chemical,2,3,R9AR,PVX,CP07,
254,N2Y,R9AR,"R3BR,PVX,CP07",chemical,1,3,R3BR,PVX,CP07,
255,N2Y,R3BR,PHCR,chemical,3,1,PHCR,,,
256,N2Y,R3BR,"PCBL,PVY",chemical,2,2,PCBL,PVY,,
257,N2Y,R2AL,"R2AR,CP09",chemical,1,2,R2AR,CP09,,
258,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
259,N2Y,R2AL,"R2AR,CP09",chemical,8,2,R2AR,CP09,,
260,N2Y,R2AL,"PHCR,DD06",chemical,1,2,PHCR,DD06,,
261,N2Y,HOA,"R2AL,PHCR,AVG",chemical,2,3,R2AL,PHCR,AVG,
262,N2Y,R2AL,CP09,chemical,1,1,CP09,,,
263,N2Y,R3BL,"PVV,EF1",chemical,2,2,PVV,EF1,,
264,N2Y,R3BL,EF1,chemical,16,1,EF1,,,
265,N2Y,R3BL,"DX2,PVV",chemical,2,2,DX2,PVV,,
266,N2Y,R3BL,"PVV,R9AR",chemical,3,2,PVV,R9AR,,
267,N2Y,R3BL,"EF2,EF1",chemical,3,2,EF2,EF1,,
268,N2Y,R3BL,EF2,chemical,1,1,EF2,,,
269,N2Y,DX2,"R3BL,EF1",chemical,5,2,R3BL,EF1,,
270,N2Y,R3BL,DX2,chemical,3,1,DX2,,,
271,N2Y,R3BL,"EF1,DX2",chemical,9,2,EF1,DX2,,
272,N2Y,R3BL,"DX2,EF1",chemical,10,2,DX2,EF1,,
273,N2Y,R3BL,EF1,chemical,1,1,EF1,,,
274,N2Y,R3BL,"DX2,EF1",chemical,1,2,DX2,EF1,,
275,N2Y,HOA,"PVZ,R3BL",chemical,4,2,PVZ,R3BL,,
276,N2Y,R3BL,EF1,chemical,4,1,EF1,,,
277,N2Y,HOB,"R3BL,EF1",chemical,7,2,R3BL,EF1,,
278,N2Y,HOA,"R3BL,PVZ,R8AR,R2BR",chemical,8,4,R3BL,PVZ,R8AR,R2BR
279,N2Y,R3BR,"DB07,unknown100",chemical,2,2,DB07,unknown100,,
280,N2Y,R3BR,"EF3,PVNL",chemical,5,2,EF3,PVNL,,
281,N2Y,R6BR,"unknown100,R3BL",chemical,3,2,unknown100,R3BL,,
282,N2Y,R3BL,"HOB,EF1",chemical,10,2,HOB,EF1,,
283,N2Y,HOA,"PVZ,R3BL",chemical,4,2,PVZ,R3BL,,
284,N2Y,R6BR,"R9BL,R3BL",chemical,16,2,R9BL,R3BL,,
285,N2Y,R6BR,"R9BL,R3BL",chemical,3,2,R9BL,R3BL,,
286,N2Y,R3BL,EF2,chemical,5,1,EF2,,,
287,N2Y,R3BL,"PVV,PDB",chemical,2,2,PVV,PDB,,
288,N2Y,CP09,"R3BL,CP07,unk807[RnBR],obj39076,PVV",chemical,11,5,R3BL,CP07,unk807[RnBR],
289,N2Y,R3BL,"R9BR,PDB",chemical,6,2,R9BR,PDB,,
290,N2Y,R3BL,AVFR,chemical,5,1,AN3b,,,
291,N2Y,R9BR,"R6BL,EF2,R3BL",chemical,5,3,R6BL,EF2,R3BL,
292,N2Y,R3BL,"R9BR,EF2",chemical,1,2,R9BR,EF2,,
293,N2Y,R3BL,"EF2,R6BL",chemical,6,2,EF2,R6BL,,
294,N2Y,R3BR,EF2,chemical,1,1,EF2,,,
295,N2Y,PVX,"R3BL,PCAR,AVG",chemical,1,3,R3BL,PCAR,AVG,
296,N2Y,R3BL,"EF3,R6BL,EF2",chemical,3,3,EF3,R6BL,EF2,
297,N2Y,R6BL,"R3BL,EF2",chemical,7,2,R3BL,EF2,,
298,N2Y,R3BL,"EF3,R6BR",chemical,5,2,EF3,R6BR,,
301,N2Y,R6BL,"R3BL,EF3",chemical,6,2,R3BL,EF3,,
302,N2Y,R3BL,"R1BR,EF2,AVFL",chemical,2,3,R1BR,EF2,AN3a,
303,N2Y,R6BL,"R9AR,R3BL",chemical,2,2,R9AR,R3BL,,
304,N2Y,R3BL,"PCBR,EF2",chemical,2,2,PCBR,EF2,,
305,N2Y,R3BL,"unk228[EFn],R7BR,PVV",chemical,8,3,unk228[EFn],R7BR,PVV,
306,N2Y,R7BR,"PVV,R3BL,AVFR",chemical,3,3,PVV,R3BL,AN3b,
307,N2Y,R3BL,"R1BR,EF3",chemical,3,2,R1BR,EF3,,
308,N2Y,R3BL,"R4AL,hyp",chemical,2,2,R4AL,hyp,R4AL,
309,N2Y,PQR,"R3BL,EF3",chemical,3,2,R3BL,EF3,,
310,N2Y,R7BL,"R3BL,PDB",chemical,1,2,R3BL,PDB,,
311,N2Y,R3BL,"EF3,unk228[EFn]",chemical,10,2,EF3,unk228[EFn],,
312,N2Y,R3BL,"EF3,PQR",chemical,14,2,EF3,PQR,,
313,N2Y,R3BL,"EF3,unk228[EFn]",chemical,11,2,EF3,unk228[EFn],,
314,N2Y,R3BR,"R3BL,PVV",chemical,2,2,R3BL,PVV,,
315,N2Y,R6BL,"R3BL,R1BL,EF3",chemical,5,3,R3BL,R1BL,EF3,
316,N2Y,R3BL,PVV,chemical,1,1,PVV,,,
317,N2Y,R3BL,"EF3,R6BL,CP07",chemical,9,3,EF3,R6BL,CP07,
318,N2Y,PHAL,"PVX,R3BL",chemical,9,2,PVX,R3BL,,
319,N2Y,PHAL,"PVX,R3BL",chemical,7,2,PVX,R3BL,,
320,N2Y,PHAL,"PVX,CP07,R3BL",chemical,5,3,PVX,CP07,R3BL,
321,N2Y,R3BL,"PVV,DX2",chemical,3,2,PVV,DX2,DX2,
323,N2Y,HOB,"R3BL,EF1",chemical,2,2,R3BL,EF1,,
324,N2Y,HOB,"EF2,EF1,HOB,DVE,SPCR",chemical,18,5,EF2,EF1,HOB,
325,N2Y,R2BR,"PCBR,[CP04]",chemical,1,2,PCBR,[CP04],,
326,N2Y,R2BR,"[CA04],[CP04],R2BR",chemical,4,3,[CA04],[CP04],R2BR,
327,N2Y,R2BR,"PVZ,[CP04]",chemical,6,2,PVZ,[CP04],,
328,N2Y,R2BR,"R2BR,[CP04],PHCR,HOB",chemical,6,4,R2BR,[CP04],PHCR,HOB
329,N2Y,HOA,"R2BR,PVZ,R8AR",chemical,2,3,R2BR,PVZ,R8AR,
331,N2Y,R3AR,R1AL,chemical,2,1,R1AL,,,
332,N2Y,R3AR,R1AL,chemical,3,1,R1AL,,,
333,N2Y,R1AL,R3AR,chemical,1,1,R3AR,,,
334,N2Y,R3AR,R1AL,chemical,2,1,R1AL,,,
335,N2Y,R1AL,R3AR,chemical,1,1,R3AR,,,
336,N2Y,R3AR,R1AL,chemical,1,1,R1AL,,,
337,N2Y,R1AL,R3AR,chemical,5,1,R3AR,,,
338,N2Y,R1AL,R3AR,chemical,1,1,R3AR,,,
339,N2Y,R3AL,R3AR,chemical,2,1,R3AR,,,
340,N2Y,R1AL,R3AR,chemical,3,1,R3AR,,,
341,N2Y,R3AL,R3AR,chemical,1,1,R3AR,,,
342,N2Y,R1AL,R3AR,chemical,3,1,R3AR,,,
343,N2Y,R3AL,R3AR,chemical,1,1,R3AR,,,
344,N2Y,R1AL,R3AR,chemical,3,1,R3AR,,,
345,N2Y,R8BR,EF1,chemical,1,1,EF1,,,
346,N2Y,R3AR,R1AL,chemical,1,1,R1AL,,,
347,N2Y,R3AL,R3AR,chemical,5,1,R3AR,,,
348,N2Y,R1AL,R3AR,chemical,1,1,R3AR,,,
349,N2Y,R3AL,R3AR,chemical,2,1,R3AR,,,
350,N2Y,R3AR,R1AL,chemical,1,1,R1AL,,,
351,N2Y,R1AL,R3AR,chemical,3,1,R3AR,,,
352,N2Y,R3AL,"R3AR,R1AL",chemical,2,2,R3AR,R1AL,,
353,N2Y,R3AR,R3AL,chemical,3,1,R3AL,,,
354,N2Y,R3AR,R1AL,chemical,2,1,R1AL,,,
355,N2Y,R3AL,"R3AR,AVAL",chemical,1,2,R3AR,AVAL,,
356,N2Y,R3AR,R3AL,chemical,3,1,R3AL,,,
357,N2Y,R3AR,R3AL,chemical,1,1,R3AL,,,
358,N2Y,R3AR,R3AL,chemical,2,1,R3AL,,,
359,N2Y,R3AL,R3AR,chemical,1,1,R3AR,,,
360,N2Y,R3AR,"R5AR,R3AL",chemical,3,2,R5AR,R3AL,,
361,N2Y,R3AR,R3AL,chemical,1,1,R3AL,,,
362,N2Y,R3AL,R3AR,chemical,3,1,R3AR,,,
363,N2Y,R3AL,R3AR,chemical,2,1,R3AR,,,
364,N2Y,R3AR,R1AL,chemical,2,1,R1AL,,,
365,N2Y,R3AL,R3AR,chemical,3,1,R3AR,,,
366,N2Y,R3AR,R1AL,chemical,1,1,R1AL,,,
367,N2Y,R3AR,R5AR,chemical,1,1,R5AR,,,
368,N2Y,R3AL,R3AR,chemical,4,1,R3AR,,,
369,N2Y,R3AR,R3AL,chemical,2,1,R3AL,,,
370,N2Y,PVV,"R3AR,unk772,VA12",chemical,2,3,R3AR,unk772,VA12,
371,N2Y,R3AR,R3AL,chemical,2,1,R3AL,,,
372,N2Y,R3AR,R3AL,chemical,3,1,R3AL,,,
373,N2Y,R3AL,R3AR,chemical,1,1,R3AR,,,
374,N2Y,R3AL,R3AR,chemical,3,1,R3AR,,,
375,N2Y,R3AR,"R5AR,R5AL",chemical,1,2,R5AR,R5AL,,
376,N2Y,R3AL,R3AR,chemical,2,1,R3AR,,,
377,N2Y,R3AR,R3AL,chemical,1,1,R3AL,,,
378,N2Y,R3AL,R3AR,chemical,1,1,R3AR,,,
379,N2Y,R3AR,R3AL,chemical,6,1,R3AL,,,
380,N2Y,R3AR,R3AL,chemical,2,1,R3AL,,,
381,N2Y,R3AR,"R3AL,R4AL",chemical,7,2,R3AL,R4AL,,
382,N2Y,AVKL,"VB06,R3AR",chemical,2,2,VB06,R3AR,,
383,N2Y,R8BL,"PHCR,R2BR",chemical,1,2,PHCR,R2BR,,
384,N2Y,R2BR,"[CA04],PVY",chemical,2,2,[CA04],PVY,,
385,N2Y,AVFL,R3BR,chemical,2,1,R3BR,,,
386,N2Y,R3BR,"PHCL,PVY",chemical,2,2,PHCL,PVY,,
387,N2Y,PCCL,"R2BR,SPVR,CA05",chemical,5,3,R2BR,SPVR,CA05,
388,N2Y,R8BR,"R4BR,R2BR",chemical,2,2,R4BR,R2BR,,
389,N2Y,R2BR,"PVY,R8BR",chemical,1,2,PVY,R8BR,,
390,N2Y,R2BR,"[CA04],R6AR,R7BR",chemical,10,3,[CA04],R6AR,R7BR,
391,N2Y,R7AL,"R2BR,PGA,AVFR",chemical,3,3,R2BR,PGA,AN3b,
392,N2Y,R3BR,"DA09,PHCR",chemical,2,2,DA09,PHCR,,
393,N2Y,AVFR,"unk807[RnBR],R3BR",chemical,2,2,unk807[RnBR],R3BR,,
394,N2Y,R3BR,EF2,chemical,2,1,EF2,,,
395,N2Y,R3BR,EF3,chemical,1,1,EF3,,,
396,N2Y,R3BR,EF3,chemical,1,1,EF3,,,
