,pre,post,sections
609,AIZL,VB01,2
610,AIZL,VB02,5
611,AIZR,ADAR,6
612,AIZR,ADFL,1
613,AIZR,ADFR,105
614,AIZR,AFDR,49
615,AIZR,AIYL,13
616,AIZR,AIYR,69
617,AIZR,AIZL,29
618,AIZR,AQR,4
619,AIZR,ASEL,28
620,AIZR,ASER,14
621,AIZR,ASGR,29
622,AIZR,AUAL,3
623,AIZR,AUAR,30
624,AIZR,AVEL,44
625,AIZR,AVER,12
626,AIZR,AVHL,4
627,AIZR,AVKL,5
628,AIZR,AWAR,104
629,AIZR,BAGL,22
630,AIZR,DVA,30
631,AIZR,DVC,29
632,AIZR,PVPR,4
633,AIZR,RIAL,7
634,AIZR,RIAR,73
635,AIZR,RIBR,65
636,AIZR,RICR,20
637,AIZR,RID,1
638,AIZR,RIFR,12
639,AIZR,RIGL,27
640,AIZR,RIGR,79
641,AIZR,RIH,42
642,AIZR,RIMR,59
643,AIZR,RIR,59
644,AIZR,RMFL,2
645,AIZR,SAADR,3
646,AIZR,SABD,4
647,AIZR,SIADR,34
648,AIZR,SIBDL,4
649,AIZR,SIBVL,5
650,AIZR,SMBDL,21
651,AIZR,SMBDR,80
652,AIZR,SMBVL,26
653,AIZR,SMBVR,109
654,AIZR,SMDDR,22
655,AIZR,URYDR,1
656,ALA,ALNR,1
657,ALA,AVFL,8
658,ALA,AVFR,7
659,ALA,AVHL,4
660,ALA,AVHR,8
661,ALA,AVJL,8
662,ALA,AVJR,9
663,ALA,PVQL,58
664,ALA,PVQR,45
665,ALA,RID,20
666,ALA,RIFL,2
667,ALML,ADAL,1
668,ALML,ADEL,14
669,ALML,AIML,34
670,ALML,AINL,2
671,ALML,ALA,8
672,ALML,AVFR,1
673,ALML,AVHL,4
674,ALML,AVJR,12
675,ALML,AVM,25
676,ALML,BDUL,72
677,ALML,PVNL,39
678,ALML,PVNR,17
679,ALML,PVR,25
680,ALML,RICL,1
681,ALML,RICR,5
682,ALML,RID,12
683,ALML,RIFL,30
684,ALML,URBL,5
685,ALMR,ADAR,7
686,ALMR,ADER,19
687,ALMR,AIMR,14
688,ALMR,AINR,1
689,ALMR,ALNR,1
690,ALMR,AVFL,5
691,ALMR,AVFR,1
692,ALMR,AVHR,2
693,ALMR,AVJL,13
694,ALMR,AVM,22
695,ALMR,BDUR,70
696,ALMR,PVNL,66
697,ALMR,PVNR,26
698,ALMR,PVR,42
699,ALMR,RIFR,13
700,ALMR,RIR,1
701,ALMR,URBR,3
702,ALNL,AVFR,1
703,ALNL,AVHL,1
704,ALNL,AVKR,2
705,ALNL,RICR,4
706,ALNL,RIGL,7
707,ALNL,URBL,8
708,ALNR,RICL,2
709,ALNR,RIGR,4
710,ALNR,URBR,1
711,AQR,ADAR,41
712,AQR,ADER,18
713,AQR,ALMR,2
714,AQR,AUAL,8
715,AQR,AUAR,2
716,AQR,AVHL,41
717,AQR,AVHR,37
718,AQR,AVJL,30
719,AQR,AVKL,15
720,AQR,AVKR,3
721,AQR,AVM,1
722,AQR,BAGL,43
723,AQR,BAGR,53
724,AQR,DVA,180
725,AQR,DVC,75
726,AQR,FLPL,19
727,AQR,IL2VL,1
728,AQR,OLQVR,1
729,AQR,PVPL,138
730,AQR,PVPR,213
731,AQR,PVT,18
732,AQR,RID,2
733,AQR,RIFR,1
734,AQR,RIGL,10
